"ndcnum","prodnme","gennme"
"00378092393","buprenorphine","Buprenorphine Hydrochloride"
"00378092493","buprenorphine","Buprenorphine Hydrochloride"
"00378876593","buprenorphine-naloxone","Buprenorphine/Naloxone"
"00378876693","buprenorphine-naloxone","Buprenorphine/Naloxone"
"00378876716","buprenorphine-naloxone","Buprenorphine/Naloxone"
"00378876793","buprenorphine-naloxone","Buprenorphine/Naloxone"
"00378876816","buprenorphine-naloxone","Buprenorphine/Naloxone"
"00378876893","buprenorphine-naloxone","Buprenorphine/Naloxone"
"00395808319","naltrexone hcl","Naltrexone"
"00395808335","naltrexone hcl","Naltrexone"
"00395808362","naltrexone hcl","Naltrexone"
"00406117001","naltrexone hcl","Naltrexone Hydrochloride"
"00406117003","naltrexone hcl","Naltrexone Hydrochloride"
"00406192303","buprenorphine-naloxone","Buprenorphine/Naloxone"
"00406192309","buprenorphine-naloxone","Buprenorphine/Naloxone"
"00406192403","buprenorphine-naloxone","Buprenorphine/Naloxone"
"00406192409","buprenorphine-naloxone","Buprenorphine/Naloxone"
"00406800503","buprenorphine-naloxone","Buprenorphine/Naloxone"
"00406802003","buprenorphine-naloxone","Buprenorphine/Naloxone"
"00409201203","buprenorphine hydrochloride","Buprenorphine Hydrochloride"
"00409201232","buprenorphine hydrochloride","Buprenorphine Hydrochloride"
"00490005100","suboxone","Buprenorphine/Naloxone"
"00490005130","suboxone","Buprenorphine/Naloxone"
"00490005160","suboxone","Buprenorphine/Naloxone"
"00490005190","suboxone","Buprenorphine/Naloxone"
"00517072501","buprenorphine hydrochloride","Buprenorphine Hydrochloride"
"00517072505","buprenorphine hydrochloride","Buprenorphine Hydrochloride"
"00555090201","naltrexone hcl","Naltrexone Hydrochloride"
"00555090202","naltrexone hcl","Naltrexone Hydrochloride"
"00781721664","buprenorphine-naloxone","Buprenorphine/Naloxone"
"00781722764","buprenorphine-naloxone","Buprenorphine/Naloxone"
"00781723806","buprenorphine-naloxone","Buprenorphine/Naloxone"
"00781723864","buprenorphine-naloxone","Buprenorphine/Naloxone"
"00781724964","buprenorphine-naloxone","Buprenorphine/Naloxone"
"00904700906","buprenorphine-naloxone","Buprenorphine/Naloxone"
"00904701006","buprenorphine-naloxone","Buprenorphine/Naloxone"
"00904703604","naltrexone hcl","Naltrexone Hydrochloride"
"10695004305","naltrexone","Naltrexone"
"10695004310","naltrexone","Naltrexone"
"10695006014","naltrexone hcl","Naltrexone"
"10695006017","naltrexone hcl","Naltrexone"
"12496010001","sublocade 100mg","Buprenorphine"
"12496010002","sublocade 100mg","Buprenorphine"
"12496010005","sublocade 100mg","Buprenorphine"
"12496030001","sublocade 300mg","Buprenorphine"
"12496030002","sublocade 300mg","Buprenorphine"
"12496030005","sublocade 300mg","Buprenorphine"
"12496075701","buprenex","Buprenorphine Hydrochloride"
"12496075705","buprenex","Buprenorphine Hydrochloride"
"12496120201","suboxone","Buprenorphine/Naloxone"
"12496120203","suboxone","Buprenorphine/Naloxone"
"12496120401","suboxone","Buprenorphine/Naloxone"
"12496120403","suboxone","Buprenorphine/Naloxone"
"12496120801","suboxone","Buprenorphine/Naloxone"
"12496120803","suboxone","Buprenorphine/Naloxone"
"12496121201","suboxone","Buprenorphine/Naloxone"
"12496121203","suboxone","Buprenorphine/Naloxone"
"12496127802","subutex","Buprenorphine Hydrochloride"
"12496128302","suboxone","Buprenorphine/Naloxone"
"12496130602","suboxone","Buprenorphine/Naloxone"
"12496131002","subutex","Buprenorphine Hydrochloride"
"16590066605","suboxone","Buprenorphine/Naloxone"
"16590066630","suboxone","Buprenorphine/Naloxone"
"16590066705","suboxone","Buprenorphine/Naloxone"
"16590066730","suboxone","Buprenorphine/Naloxone"
"16590066790","suboxone","Buprenorphine/Naloxone"
"16729008101","naltrexone hcl","Naltrexone Hydrochloride"
"16729008110","naltrexone hcl","Naltrexone Hydrochloride"
"16729054910","buprenorphine-naloxone","Buprenorphine/Naloxone"
"16729055010","buprenorphine-naloxone","Buprenorphine/Naloxone"
"21695051510","buprenorphine hydrochloride","Buprenorphine Hydrochloride"
